Environment	Genotype	Block	BN	FT	MT	DT	PH	SN	SP	PW	PN	SW	SY	OIL	PNM
N3	TN040	R1	10	195	252	57	158	10.68014152	5254.62963	0.042677846	4920	3.996	2099.75	44.564	557.5
N3	TN040	R2	8.6	.	.	.	.	10.23304725	5533.520299	0.038312529	5407.5	3.744	2071.75	45.658	740
N3	TN040	R3	9.2	.	.	.	.	9.352137081	4956.632653	0.027495283	5300	2.94	1457.25	41.384	605
N3	TN041	R1	10.6	199	252	53	140	12.32785429	6937.5	0.030079964	5627.5	2.44	1692.75	40.668	635
N3	TN041	R2	10.8	.	.	.	.	13.23476022	7335.365854	0.037983762	5542.5	2.87	2105.25	42.636	840
N3	TN041	R3	10.4	.	.	.	.	11.32991853	5509.172886	0.036437018	4862.5	3.216	1771.75	46.338	717.5
N3	TN042	R1	12.4	194	252	58	142	11.41720398	6256.627784	0.043065693	5480	3.772	2360	42.44	687.5
N3	TN042	R2	11.2	.	.	.	.	12.55947315	7444.62771	0.053302404	5927.5	4.244	3159.5	44.758	740
N3	TN042	R3	11.4	.	.	.	.	8.359730941	5638.63852	0.035244626	6745	4.216	2377.25	43.874	762.5
N3	TN043	R1	.	195	252	57	136	.	10812.85311	.	.	3.54	3827.75	47.012	.
N3	TN043	R2	10.6	.	.	.	.	.	.	.	4712.5	.	3081.5	.	565
N3	TN043	R3	11.4	.	.	.	.	16.06760201	7997.648903	0.061506781	4977.5	3.828	3061.5	47.59	675
N3	TN044	R1	10.8	200	252	52	150	15.89246364	9015	0.047677391	5672.5	3	2704.5	45.258	510
N3	TN044	R2	10	.	.	.	.	17.76125521	11460.44993	0.048950019	6452.5	2.756	3158.5	46.03	655
N3	TN044	R3	9	.	.	.	.	13.25270201	7547.413793	0.038432836	5695	2.9	2188.75	45.812	695
N3	TN045	R1	11.2	199	252	53	140	13.44066612	8343.293493	0.040483286	6207.5	3.012	2513	44.878	670
N3	TN045	R2	9	.	.	.	.	20.27219583	9908.035714	0.056762148	4887.5	2.8	2774.25	42.872	675
N3	TN045	R3	9	.	.	.	.	17.70736253	9500	0.051351351	5365	2.9	2755	43.322	797.5
N3	TN046	R1	8.8	197	253	56	150	11.11200918	4780.94195	0.040581058	4302.5	3.652	1746	44.356	715
N3	TN046	R2	10.6	.	.	.	.	13.24681591	7520.879733	0.047582563	5677.5	3.592	2701.5	45.456	887.5
N3	TN046	R3	10.2	.	.	.	.	14.08251044	6527.24359	0.043937433	4635	3.12	2036.5	44.65	782.5
N3	TN047	R1	10.8	200	253	53	164	11.00125838	5742.656876	0.03295977	5220	2.996	1720.5	43.06	892.5
N3	TN047	R2	11	.	.	.	.	11.62125918	7484.090909	0.038350155	6440	3.3	2469.75	44.538	902.5
N3	TN047	R3	9	.	.	.	.	15.074983	6791.279841	0.045466149	4505	3.016	2048.25	44.52	782.5
N3	TN048	R1	11.2	200	252	52	140	17.36947275	8137.597984	0.062043757	4685	3.572	2906.75	43.566	690
N3	TN048	R2	11	.	.	.	.	14.13038788	9569.805195	0.056578073	6772.5	4.004	3831.75	43.72	615
N3	TN048	R3	10	.	.	.	.	17.079005	8787.148071	0.065515063	5145	3.836	3370.75	44.36	682.5
N3	TN049	R1	9.8	199	252	53	135	14.82691621	6712.886313	0.053732744	4527.5	3.624	2432.75	42.546	412.5
N3	TN049	R2	9.4	.	.	.	.	13.14256622	5569.162437	0.051781711	4237.5	3.94	2194.25	43.414	647.5
N3	TN049	R3	8.8	.	.	.	.	14.34007192	6176.985981	0.049100406	4307.5	3.424	2115	43.698	602.5
N3	TN050	R1	10.2	198	253	55	150	12.91065207	7410.714286	0.037234321	5740	2.884	2137.25	43.706	720
N3	TN050	R2	9	.	.	.	.	14.33535418	8300.170068	0.042145941	5790	2.94	2440.25	46.46	960
N3	TN050	R3	9.4	.	.	.	.	10.87620543	6977.085781	0.037022603	6415	3.404	2375	45.192	795
N3	TN051	R1	12.8	201	255	54	154	9.511615145	7906.53009	0.029714286	8312.5	3.124	2470	44.414	490
N3	TN051	R2	11	.	.	.	.	16.10183669	8888.213852	0.053007246	5520	3.292	2926	45.584	610
N3	TN051	R3	10.8	.	.	.	.	14.81524217	8263.20132	0.053868221	5577.5	3.636	3004.5	45.712	487.5
N3	TN052	R1	10.6	195	249	54	140	11.11504683	7855.559345	0.032589317	7067.5	2.932	2303.25	40.552	827.5
